ticker,penalty,boost,risk_flags,bonus_flags,net
LMND,6,8,['Elevated short interest (-6)'],['Near 52-week low (+8)'],2
META,5,5,['Low insider ownership (-5)'],['Low short interest (+5)'],0
SNDK,5,0,['Low insider ownership (-5)'],[],-5
MRNA,14,0,"['Elevated short interest (-6)', 'Near 52-week high (-8)']",[],-14
NVDA,0,15,[],"['Low short interest (+5)', 'PEG undervalued vs growth (+10)']",15
NBIS,6,10,['Elevated short interest (-6)'],['PEG undervalued vs growth (+10)'],4
SOFI,6,18,['Elevated short interest (-6)'],"['PEG undervalued vs growth (+10)', 'Near 52-week low (+8)']",12
JPM,5,5,['Low insider ownership (-5)'],['Low short interest (+5)'],0
AWK,10,0,"['Low insider ownership (-5)', 'PEG stretched (-5)']",[],-10
GOOGL,0,5,[],['Low short interest (+5)'],5
RBLX,10,8,['PEG overvalued vs growth (-10)'],['Near 52-week low (+8)'],-2
AAPL,13,5,"['PEG stretched (-5)', 'Near 52-week high (-8)']",['Low short interest (+5)'],-8
LNT,11,8,"['Elevated short interest (-6)', 'Low insider ownership (-5)']",['Near 52-week low (+8)'],-3
AMGN,10,5,"['Low insider ownership (-5)', 'PEG stretched (-5)']",['Low short interest (+5)'],-5
HOOD,10,0,"['Low insider ownership (-5)', 'PEG stretched (-5)']",[],-10
LYFT,12,18,['High short interest (-12)'],"['PEG undervalued vs growth (+10)', 'Near 52-week low (+8)']",6
AMP,5,0,['Low insider ownership (-5)'],[],-5
NKE,8,8,['Revenue declining (-8)'],['Near 52-week low (+8)'],0
AME,10,5,"['Low insider ownership (-5)', 'PEG stretched (-5)']",['Low short interest (+5)'],-5
MSFT,5,5,['Low insider ownership (-5)'],['Low short interest (+5)'],0
NET,18,5,"['Low insider ownership (-5)', 'PEG stretched (-5)', 'Near 52-week high (-8)']",['Low short interest (+5)'],-13
